,Unnamed: 0,trial_num,image,is_repeat,type,Image Index,Block,Onset,Offset,Response,RT
102,102,103,T1_13,False,target,Filler-1664,1,257.85728788375854,259.87378692626953,0.0,0.7324140071868896
103,103,104,F_S3,False,filler,Target-1861,1,260.37391901016235,262.3907859325409,0.0,0.8167409896850586
104,104,105,T1_15,False,target,Filler-4621,1,262.9070448875427,264.9236798286438,0.0,0.7333481311798096
105,105,106,T1_8,False,target,Target-1021,1,265.42384791374207,267.4396698474884,0.0,1.2161169052124023
106,106,107,T2_5,False,target,Filler-511,1,267.94032883644104,269.9563708305359,0.0,1.150691032409668
107,107,108,T2_6,False,target,Filler-2883,1,270.4572260379791,272.4735188484192,0.0,1.0331039428710938
108,108,109,T4_9,True,target,Filler-6110,1,272.9736428260803,274.98937582969666,0.0,0.7668311595916748
109,109,110,T1_4,False,target,Filler-6435,1,275.49047899246216,277.5064790248871,0.0,0.6166770458221436
110,110,111,T4_6,True,target,Filler-7460,1,278.0229058265686,280.03935384750366,0.0,0.6172430515289307
111,111,112,T3_14,False,target,Filler-824,1,280.55639696121216,282.5732548236847,0.0,0.36666202545166016
112,112,113,T3_12,True,target,Filler-68,1,283.0738158226013,285.08984088897705,0.0,1.232131004333496
113,113,114,T3_4,False,target,Filler-7648,1,285.6059398651123,287.6062898635864,0.0,1.0498640537261963
114,114,115,T3_3,True,target,Target-1988,1,288.1225869655609,290.1228778362274,1.0,1.1663689613342285
115,115,116,F_S13,False,filler,Target-2088,1,290.6386959552765,292.63926792144775,0.0,0.5175628662109375
116,116,117,T2_2,True,target,Filler-4684,1,293.13940691947937,295.15625190734863,0.0,0.8007910251617432
117,117,118,T2_9,True,target,Filler-1929,1,295.6720938682556,297.6728239059448,0.0,0.7837700843811035
118,118,119,T1_7,True,target,Target-479,1,298.1892659664154,300.20556592941284,1.0,0.7996630668640137
119,119,120,T4_12,True,target,Target-675,1,300.705806016922,302.70590591430664,1.0,0.9657318592071533
120,120,121,T4_1,False,target,Filler-5957,1,303.22170782089233,305.2220649719238,0.0,0.9006922245025635
121,121,122,F_S11,False,filler,Target-2055,1,305.73857498168945,307.7555708885193,0.0,0.9326519966125488
122,122,123,T1_11,True,target,Filler-6285,1,308.2717978954315,310.2881898880005,0.0,0.617164134979248
123,123,124,T3_5,True,target,Filler-7517,1,310.8049659729004,312.8053858280182,1.0,0.750640869140625
124,124,125,T4_3,False,target,Filler-4460,1,313.3218638896942,315.32189989089966,0.0,0.7340099811553955
125,125,126,T4_15,False,target,Filler-7486,1,315.83889389038086,317.85492992401123,0.0,1.0832719802856445
126,126,127,F_R2,False,filler,Target-35,1,318.371426820755,320.3723418712616,0.0,1.0004441738128662
127,127,128,T4_13,True,target,Filler-3170,1,320.888365983963,322.9050488471985,1.0,0.8670990467071533
128,128,129,F_R2,True,filler,Target-35,1,323.42118787765503,325.42192697525024,0.0,0.6666641235351562
129,129,130,T2_8,True,target,Target-1292,1,325.9381740093231,327.9544110298157,1.0,1.1670420169830322
130,130,131,F_R1,False,filler,Target-13,1,328.47084403038025,330.48723101615906,0.0,0.7669370174407959
131,131,132,T2_6,True,target,Filler-2883,1,331.00410294532776,333.0042350292206,0.0,1.6005280017852783
132,132,133,T1_8,True,target,Target-1021,1,333.5211589336395,335.5379638671875,1.0,0.7501089572906494
133,133,134,F_R1,True,filler,Target-13,1,336.05425786972046,338.070513010025,1.0,0.8667371273040771
134,134,135,F_S8,False,filler,Target-1981,1,338.5710070133209,340.57107496261597,0.0,0.7670400142669678
135,135,136,T1_1,True,target,Filler-6188,1,341.08737087249756,343.10355591773987,1.0,0.6839909553527832
136,136,137,T1_13,True,target,Filler-1664,1,343.6042158603668,345.6200268268585,0.0,1.1658251285552979
137,137,138,T1_14,True,target,Filler-2584,1,346.12032198905945,348.120698928833,0.0,0.9672708511352539
138,138,139,F_S14,False,filler,Target-2140,1,348.63757491111755,350.6540069580078,0.0,1.2150239944458008
139,139,140,T1_4,True,target,Filler-6435,1,351.170147895813,353.17054200172424,1.0,1.033358097076416
